scenario,seed,target_id,target_type,spawn_time,detection_time,detection_delay,assigned_uav,assignment_time,tracking_start,tracking_end,tracking_duration,loss_events,reacq_events,handover_events,localization_errors,avg_loc_error,tracking_accuracy,final_status,state_changes
Mixed (2S+2D+4TV),42,4,time_varying,0.2,12.299999999999972,12.099999999999973,3,12.299999999999972,12.399999999999972,20.40000000000002,8.000000000000048,0,0,0,0.0000,0.0,1.0,completed,1
Mixed (2S+2D+4TV),42,5,time_varying,0.2,37.50000000000026,37.30000000000026,2,37.50000000000026,37.600000000000264,45.60000000000038,8.000000000000114,0,0,0,0.0000,0.0,1.0,completed,1
Mixed (2S+2D+4TV),42,6,time_varying,0.2,,,,,,,0.0,0,0,0,0.0000,0.0,0.0,undiscovered,3
Mixed (2S+2D+4TV),42,7,time_varying,0.2,11.299999999999976,11.099999999999977,6,11.299999999999976,11.399999999999975,19.400000000000006,8.00000000000003,0,0,1,0.0000,0.0,1.0,completed,0
Mixed (2S+2D+4TV),73,0,static,0.2,2.700000000000001,2.500000000000001,7,2.700000000000001,2.800000000000001,10.899999999999977,8.099999999999977,0,0,1,0.0000,0.0,0.9285714285714286,completed,0
Mixed (2S+2D+4TV),73,1,static,0.2,81.49999999999964,81.29999999999964,2,81.49999999999964,81.59999999999964,89.69999999999918,8.09999999999954,0,0,0,0.0000,0.0,1.0,completed,0
Mixed (2S+2D+4TV),73,2,dynamic,0.2,19.80000000000001,19.600000000000012,6,19.80000000000001,19.900000000000013,27.900000000000126,8.000000000000114,0,0,1,0.0000,0.0,1.0,completed,0
Mixed (2S+2D+4TV),73,3,dynamic,0.2,,,,,,,0.0,0,0,0,0.0000,0.0,0.0,undiscovered,0
Mixed (2S+2D+4TV),73,4,time_varying,0.2,2.800000000000001,2.600000000000001,3,2.800000000000001,2.9000000000000012,10.999999999999977,8.099999999999977,0,0,0,0.0000,0.0,1.0,completed,0
Mixed (2S+2D+4TV),73,5,time_varying,0.2,75.99999999999996,75.79999999999995,9,75.99999999999996,76.09999999999995,86.29999999999937,10.19999999999942,0,0,0,0.0000,0.0,0.6666666666666666,completed,2
Mixed (2S+2D+4TV),73,6,time_varying,0.2,,,,,,,0.0,0,0,0,0.0000,0.0,0.0,undiscovered,3
Mixed (2S+2D+4TV),73,7,time_varying,0.2,,,,,,,0.0,0,0,0,0.0000,0.0,0.0,undiscovered,3
Mixed (2S+2D+4TV),137,0,static,0.2,18.39999999999999,18.199999999999992,9,18.39999999999999,18.499999999999993,26.500000000000107,8.000000000000114,0,0,0,0.0000,0.0,0.7058823529411765,completed,0
Mixed (2S+2D+4TV),137,1,static,0.2,3.600000000000002,3.4000000000000017,3,3.600000000000002,3.700000000000002,15.399999999999961,11.69999999999996,0,0,0,0.0000,0.0,0.7,completed,0
Mixed (2S+2D+4TV),137,2,dynamic,0.2,9.399999999999983,9.199999999999983,3,9.399999999999983,9.499999999999982,17.59999999999998,8.099999999999998,0,0,0,0.0000,0.0,1.0,completed,0
